evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,2,12,812,0.0,0,,179,100
1,33,195,995,0.0078,1,,181,100
2,48,297,1097,0.0,0,,181,100
3,70,411,1211,0.0,0,,181,100
4,75,435,1235,0.0012,1,,181,100
5,82,481,1281,0.0,0,,177,100
6,91,530,1330,0.0786,1,,176,100
7,96,556,1356,0.1026,1,,175,100
8,101,576,1376,0.0462,1,,173,100
9,110,617,1417,0.0082,1,,171,100
10,119,660,1460,0.003,1,,170,100
11,127,714,1514,0.6448,1,,168,100
12,139,797,1597,0.0,0,,172,100
13,144,828,1628,0.0,0,,172,100
14,149,856,1656,0.0,0,,173,100
15,154,901,1701,0.0,0,,174,100
16,162,942,1742,0.0214,1,,172,100
17,168,975,1775,0.0,0,,168,100
18,174,1002,1802,0.0,0,,167,100
19,179,1027,1827,0.0,0,,164,100
20,185,1065,1865,0.0,0,,166,100
21,191,1102,1902,0.0,0,,168,100
22,200,1147,1947,0.0,0,,166,100
23,220,1250,2050,0.0032,1,,159,100
24,227,1289,2089,0.001,1,,162,100
25,268,1513,2313,0.0,0,,162,100
26,276,1567,2367,0.0,0,,165,100
27,399,2279,3079,0.0004,0,,109,100
28,406,2320,3120,0.6864,1,,101,100
