window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,0.4723665527410147,1,,153,100
1,10,810,0.11943296826671962,1,,153,100
2,20,820,0.18498139990730428,1,,153,100
3,30,830,0.11943296826671962,1,,152,100
4,40,840,0.0680508540250102,1,,153,100
5,50,850,0.1271357329320356,1,,151,100
6,60,860,0.7788007830714049,1,,151,100
7,70,870,0.8290291181804004,1,,152,100
8,80,880,0.7316156289466418,1,,151,100
9,90,890,0.6065306597126334,1,,152,100
10,100,900,0.5028315779709409,1,,153,100
11,110,910,0.7316156289466418,1,,153,100
12,120,920,0.5352614285189903,1,,154,100
13,130,930,0.7788007830714049,1,,154,100
14,140,940,0.7788007830714049,1,,155,100
15,150,950,0.5028315779709409,1,,155,100
16,160,960,0.645648526427892,1,,154,100
17,170,970,0.3455907525769745,1,,155,100
18,180,980,0.4723665527410147,1,,155,100
19,190,990,0.44374731008107987,1,,157,100
20,200,1000,0.8824969025845955,1,,157,100
21,210,1010,0.8824969025845955,1,,157,100
22,220,1020,0.7788007830714049,1,,160,100
23,230,1030,1.0,1,,157,100
24,240,1040,1.0,1,,153,100
25,250,1050,0.6065306597126334,1,,151,100
26,260,1060,1.0,1,,148,100
27,270,1070,1.0,1,,145,100
28,280,1080,1.0,1,,145,100
29,290,1090,0.8824969025845955,1,,144,100
30,300,1100,1.0,1,,140,100
31,310,1110,1.0,1,,138,100
32,320,1120,1.0,1,,135,100
33,330,1130,1.0,1,,133,100
34,340,1140,0.8824969025845955,1,,132,100
35,350,1150,0.8824969025845955,1,,130,100
36,360,1160,1.0,1,,127,100
37,370,1170,0.8824969025845955,1,,126,100
38,380,1180,1.0,1,,125,100
39,390,1190,0.8824969025845955,1,,122,100
40,400,1200,1.0,1,,119,100
41,410,1210,0.6065306597126334,1,,117,100
42,420,1220,0.8824969025845955,1,,116,100
43,430,1230,0.8824969025845955,1,,115,100
44,440,1240,0.8824969025845955,1,,111,100
45,450,1250,0.8824969025845955,1,,109,100
46,460,1260,1.0,1,,108,100
47,470,1270,1.0,1,,105,100
48,480,1280,1.0,1,,105,100
49,490,1290,0.8824969025845955,1,,103,100
50,500,1300,1.0,1,,101,100
