evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,0,800,0.0,0,,165,100
1,54,345,1145,0.0,0,,166,100
2,116,722,1522,0.0,0,,162,100
3,124,766,1566,0.0,0,,163,100
4,150,910,1710,0.0,0,,162,100
5,162,976,1776,0.0,0,,158,100
6,172,1025,1825,0.0,0,,156,100
7,183,1106,1906,0.0,0,,152,100
8,189,1142,1942,0.0,0,,156,100
9,569,3409,4209,0.0,0,,174,100
10,1444,8434,9234,0.0,0,,181,100
11,1462,8539,9339,0.0,0,,173,100
12,1487,8678,9478,0.0,0,,170,100
13,1502,8770,9570,0.0,0,,172,100
14,1537,8999,9799,0.0,0,,179,100
15,1545,9046,9846,0.0,0,,180,100
16,1572,9213,10013,0.0,0,,182,100
17,1577,9243,10043,0.0,0,,184,100
18,1615,9489,10289,0.0,0,,186,100
19,1636,9615,10415,0.0,0,,177,100
20,1646,9679,10479,0.0,0,,175,100
21,1672,9815,10615,0.0,0,,171,100
