evaluation_index,window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,3,13,813,0.9168,1,,178,100
1,8,53,853,0.0848,1,,180,100
2,17,105,905,0.0808,1,,174,100
3,22,137,937,0.4288,1,,170,100
4,28,180,980,0.0,0,,172,100
5,34,207,1007,0.001,1,,170,100
6,39,243,1043,0.0,0,,171,100
7,45,281,1081,0.7744,1,,169,100
8,50,323,1123,0.6744,1,,173,100
9,57,359,1159,0.994,1,,168,100
10,62,389,1189,0.9542,1,,163,100
11,67,424,1224,0.972,1,,157,100
12,72,449,1249,0.0476,1,,151,100
13,78,486,1286,0.1,1,,144,100
14,90,543,1343,0.982,1,,132,100
15,96,585,1385,0.9834,1,,123,100
16,102,607,1407,0.7638,1,,116,100
17,113,677,1477,0.9906,1,,101,100
