window_index,char_start,char_end,p_z,extracted,error,n_tokens_in_chunk,sequence_len_tokens
0,0,800,7.609121560800585e-16,0,,186,100
1,6,806,6.247370848110225e-16,0,,183,100
2,10,810,9.928351795700685e-18,0,,185,100
3,21,821,1.2845114191461358e-13,0,,186,100
4,25,825,6.089672280915323e-21,0,,187,100
5,30,830,5.2238736898533446e-20,0,,186,100
6,44,844,9.130583240918849e-17,0,,182,100
7,48,848,4.5979483455741827e-17,0,,184,100
8,65,865,2.6469955954957233e-16,0,,181,100
9,68,868,7.874109423189962e-15,0,,179,100
10,88,888,1.6748566815528068e-15,0,,183,100
11,98,898,4.3727427106331535e-16,0,,182,100
12,104,904,4.2803168806091193e-17,0,,183,100
13,109,909,3.762446307929821e-17,0,,183,100
14,113,913,1.9172772750056627e-14,0,,181,100
15,119,919,1.0209157754867656e-13,0,,181,100
16,123,923,1.658158004144713e-14,0,,181,100
17,134,934,7.610266162271399e-14,0,,183,100
18,138,938,1.4358892821621957e-13,0,,182,100
19,143,943,2.2713741644431933e-15,0,,181,100
20,163,963,2.231587084051276e-12,0,,178,100
21,167,967,7.870632788746387e-13,0,,179,100
22,180,980,3.90188813767559e-14,0,,180,100
23,183,983,5.669649267724758e-14,0,,182,100
24,191,991,9.081108865161971e-13,0,,183,100
25,194,994,1.7929949049129569e-13,0,,184,100
26,203,1003,4.1791803715897923e-16,0,,183,100
27,205,1005,1.4749213398632874e-13,0,,182,100
28,213,1013,2.615076315337895e-15,0,,182,100
29,215,1015,8.993518217572575e-15,0,,181,100
30,218,1018,1.7636487061684607e-13,0,,181,100
31,223,1023,4.253248857828172e-12,0,,180,100
32,240,1040,2.1899653623072522e-13,0,,179,100
33,251,1051,2.604793455107518e-12,0,,177,100
34,257,1057,4.2048093433483825e-13,0,,175,100
35,262,1062,1.5252192371954094e-13,0,,176,100
36,266,1066,5.6149898350342233e-14,0,,176,100
37,276,1076,4.048849013287408e-13,0,,176,100
38,282,1082,3.8741550818536055e-12,0,,177,100
39,285,1085,4.424634611749189e-12,0,,176,100
40,292,1092,1.2203909581454138e-14,0,,176,100
41,303,1103,1.5163679907649088e-13,0,,177,100
42,312,1112,5.197544752889298e-12,0,,175,100
43,316,1116,1.1407339355209997e-14,0,,176,100
44,326,1126,7.953016021416698e-15,0,,176,100
45,332,1132,8.126432105769467e-14,0,,176,100
46,337,1137,2.6638567326789553e-13,0,,176,100
47,340,1140,3.909534891470004e-13,0,,177,100
48,349,1149,1.4061963307754981e-14,0,,177,100
49,353,1153,1.838767675084227e-15,0,,176,100
50,369,1169,4.833359977468977e-21,0,,175,100
51,376,1176,1.5244352316494245e-23,0,,175,100
52,384,1184,3.336700334612031e-24,0,,176,100
53,390,1190,1.2662618836233433e-24,0,,176,100
54,395,1195,1.4296625814051116e-22,0,,176,100
55,399,1199,5.01766340589506e-23,0,,175,100
56,405,1205,1.0430914415295453e-23,0,,176,100
57,408,1208,6.296163874930819e-24,0,,175,100
58,412,1212,4.010358444134004e-24,0,,175,100
59,419,1219,3.4552947115965206e-25,0,,175,100
60,426,1226,6.734032128736387e-24,0,,175,100
61,430,1230,3.106389101284385e-24,0,,174,100
62,440,1240,7.605756398169376e-27,0,,173,100
63,446,1246,1.5995420446666204e-28,0,,173,100
64,455,1255,4.385979936317859e-28,0,,172,100
65,460,1260,2.911706164262728e-29,0,,173,100
66,469,1269,1.0133650724549907e-29,0,,172,100
67,473,1273,1.1385754794088487e-29,0,,172,100
68,484,1284,1.2662797828659956e-26,0,,173,100
69,488,1288,3.8567130806317883e-28,0,,172,100
70,491,1291,1.6439050986922947e-26,0,,172,100
71,495,1295,3.277613769334203e-30,0,,171,100
72,501,1301,1.4604721162894348e-27,0,,171,100
73,514,1314,2.0303609210792384e-30,0,,172,100
74,522,1322,6.112579552313331e-31,0,,172,100
75,527,1327,1.5747711899404828e-34,0,,172,100
76,532,1332,6.313734733997507e-37,0,,171,100
77,540,1340,5.734658019989215e-27,0,,171,100
78,544,1344,4.460441510457579e-27,0,,170,100
79,548,1348,2.862825431137212e-26,0,,172,100
80,557,1357,1.1009410867553526e-25,0,,171,100
81,560,1360,6.298246962922025e-23,0,,171,100
82,565,1365,9.72764158713794e-25,0,,170,100
83,583,1383,4.116288511992355e-32,0,,170,100
84,593,1393,1.4907259733716756e-30,0,,168,100
85,599,1399,1.6063873340752661e-32,0,,168,100
86,603,1403,1.010726006571003e-36,0,,166,100
87,607,1407,2.7040530284650273e-38,0,,165,100
88,614,1414,1.2871896487401544e-41,0,,165,100
89,621,1421,7.330134565773522e-35,0,,167,100
90,624,1424,4.366210511878442e-35,0,,169,100
91,634,1434,4.724613608678866e-33,0,,168,100
92,637,1437,5.8683511792634e-30,0,,168,100
93,643,1443,9.72767587267095e-36,0,,168,100
94,653,1453,3.4437646218208434e-27,0,,168,100
95,663,1463,3.5127381921311645e-25,0,,168,100
96,666,1466,7.689567344342107e-28,0,,168,100
97,677,1477,4.9474853619906224e-26,0,,169,100
98,680,1480,1.7407596285908627e-27,0,,169,100
99,685,1485,1.4065444522905675e-26,0,,169,100
100,693,1493,1.5419791372565667e-25,0,,169,100
101,701,1501,3.7943281221704995e-25,0,,169,100
102,704,1504,4.2560938585383e-27,0,,170,100
103,713,1513,4.102638883124084e-22,0,,171,100
104,722,1522,7.662202697548365e-22,0,,168,100
105,733,1533,1.70617676893581e-21,0,,169,100
106,736,1536,1.8323710042677032e-19,0,,166,100
107,741,1541,1.15976304267258e-17,0,,167,100
108,751,1551,4.931496245860869e-16,0,,167,100
109,754,1554,1.8322628440904708e-15,0,,168,100
110,760,1560,4.580771151391261e-17,0,,168,100
111,768,1568,4.624400468714287e-18,0,,169,100
112,774,1574,2.5507658324502235e-18,0,,165,100
113,777,1577,2.3263042325897627e-14,0,,165,100
114,782,1582,5.37818480251089e-14,0,,164,100
115,785,1585,3.1113752065061685e-13,0,,164,100
116,795,1595,1.9433850931544645e-14,0,,163,100
117,807,1607,1.6640335493406983e-14,0,,166,100
118,815,1615,4.8325751768889e-17,0,,164,100
119,818,1618,2.307409523362833e-15,0,,163,100
120,824,1624,1.968513798732591e-15,0,,165,100
121,835,1635,1.261462402480659e-14,0,,165,100
122,845,1645,5.990122637469209e-14,0,,166,100
123,848,1648,3.360505394479087e-12,0,,165,100
124,853,1653,6.275663046949111e-12,0,,165,100
125,868,1668,1.9798783517318164e-13,0,,161,100
126,874,1674,1.1060006607207498e-15,0,,159,100
127,878,1678,8.390860370420937e-13,0,,161,100
128,886,1686,2.2135668434075234e-13,0,,161,100
129,892,1692,4.178621734407913e-13,0,,162,100
130,897,1697,2.56140959295618e-12,0,,161,100
131,900,1700,1.442458890493567e-11,0,,160,100
132,911,1711,4.590822702382173e-14,0,,162,100
133,914,1714,3.3831452029683005e-13,0,,162,100
134,920,1720,1.303903049246336e-11,0,,162,100
135,933,1733,3.821758391297398e-12,0,,164,100
136,944,1744,1.0763651656454888e-12,0,,163,100
137,956,1756,2.4274892664343183e-12,0,,166,100
138,964,1764,2.608424859250121e-15,0,,167,100
139,967,1767,3.885279923289229e-16,0,,166,100
140,972,1772,5.361834312896617e-15,0,,167,100
141,988,1788,4.908061729798796e-15,0,,166,100
142,997,1797,1.8742566881630317e-15,0,,164,100
143,1002,1802,4.234183402680675e-18,0,,165,100
144,1008,1808,1.2742990902834105e-15,0,,166,100
145,1013,1813,2.996983623590322e-14,0,,166,100
146,1017,1817,1.3001520614009749e-14,0,,166,100
147,1027,1827,4.842198198093212e-15,0,,168,100
148,1032,1832,4.23585770535018e-15,0,,167,100
149,1036,1836,5.4588374418986e-15,0,,167,100
150,1043,1843,6.185571172123494e-15,0,,168,100
151,1064,1864,2.6174606368809627e-17,0,,165,100
152,1074,1874,2.6752335972320855e-18,0,,167,100
153,1078,1878,2.4827216216388543e-18,0,,166,100
154,1082,1882,2.1833580997488245e-19,0,,167,100
155,1090,1890,1.315756493858094e-17,0,,168,100
156,1093,1893,3.809056740055986e-19,0,,168,100
157,1102,1902,4.8514577571023525e-20,0,,166,100
158,1109,1909,2.9347627294069675e-18,0,,167,100
159,1115,1915,2.463510761764339e-20,0,,167,100
160,1135,1935,5.6647950203651594e-18,0,,170,100
161,1143,1943,2.3929908274531755e-22,0,,168,100
162,1147,1947,1.5092003799989132e-24,0,,168,100
163,1161,1961,4.941732607859794e-26,0,,170,100
164,1175,1975,3.351465006745672e-19,0,,168,100
165,1184,1984,1.0289116095368623e-17,0,,167,100
166,1189,1989,3.2092080307707465e-19,0,,167,100
167,1195,1995,4.9195159270436935e-19,0,,168,100
168,1200,2000,2.0521134108823097e-17,0,,168,100
169,1204,2004,7.03879520046637e-15,0,,168,100
170,1209,2009,5.353814727344126e-15,0,,169,100
171,1219,2019,6.131331613764741e-13,0,,168,100
172,1224,2024,3.920129565917976e-13,0,,169,100
173,1241,2041,7.116568782706631e-14,0,,169,100
174,1256,2056,4.844549475008806e-12,0,,169,100
175,1259,2059,1.0989384462502211e-14,0,,170,100
176,1271,2071,5.78369241375862e-13,0,,171,100
177,1274,2074,1.4171726016677892e-13,0,,170,100
178,1276,2076,1.8871536526439358e-11,0,,169,100
179,1283,2083,1.0242335905965634e-11,0,,171,100
180,1289,2089,2.603634603261961e-12,0,,170,100
181,1299,2099,4.862533061144411e-12,0,,172,100
182,1309,2109,2.6842786629641833e-10,0,,171,100
183,1313,2113,3.449432391722447e-10,0,,172,100
184,1321,2121,2.8832341332009492e-11,0,,173,100
185,1324,2124,7.78819340526558e-12,0,,172,100
186,1333,2133,8.908655153651672e-12,0,,173,100
187,1340,2140,1.2788789373282473e-11,0,,174,100
188,1346,2146,1.813832146141192e-10,0,,174,100
189,1356,2156,5.720191802915789e-11,0,,175,100
190,1377,2177,1.2192532757236792e-12,0,,174,100
191,1381,2181,1.9049444923462177e-12,0,,178,100
192,1393,2193,3.8434309453964777e-13,0,,179,100
193,1396,2196,5.58248918321468e-11,0,,178,100
194,1402,2202,1.5303259723797387e-12,0,,179,100
195,1408,2208,5.403655543576558e-13,0,,179,100
196,1422,2222,1.2627398474387144e-13,0,,177,100
197,1429,2229,3.616853911970607e-14,0,,176,100
198,1435,2235,1.024143776446029e-15,0,,175,100
199,1440,2240,9.827570413271105e-16,0,,175,100
200,1444,2244,1.5873445492346338e-18,0,,175,100
201,1449,2249,4.455146491237015e-20,0,,175,100
202,1452,2252,1.494844306139762e-19,0,,175,100
203,1464,2264,4.298334480630275e-14,0,,174,100
204,1472,2272,1.3593053364049885e-14,0,,174,100
205,1475,2275,2.1997371485184246e-14,0,,174,100
206,1482,2282,1.1304186523557375e-12,0,,175,100
207,1491,2291,1.979150779705489e-15,0,,174,100
208,1498,2298,1.1734895042930301e-14,0,,175,100
209,1504,2304,2.149887631725839e-15,0,,174,100
210,1509,2309,3.4701504315383355e-17,0,,172,100
211,1519,2319,7.861722228743585e-14,0,,172,100
212,1525,2325,2.1869980376953264e-14,0,,173,100
213,1529,2329,1.7939539976505237e-15,0,,174,100
214,1538,2338,2.2556037973904212e-15,0,,173,100
215,1541,2341,2.513362852801839e-16,0,,173,100
216,1551,2351,4.4472330579960184e-14,0,,175,100
217,1554,2354,4.7322168790491526e-14,0,,174,100
218,1562,2362,4.025246781589462e-14,0,,172,100
219,1572,2372,3.8343741214361704e-14,0,,173,100
220,1579,2379,6.809919831409062e-14,0,,174,100
221,1584,2384,1.0497398969288332e-13,0,,174,100
222,1587,2387,5.345153119897651e-14,0,,172,100
223,1596,2396,7.204047488092509e-14,0,,173,100
224,1599,2399,5.753034969180951e-12,0,,173,100
225,1602,2402,4.9447720908418386e-14,0,,172,100
226,1611,2411,1.827703585989863e-13,0,,173,100
227,1614,2414,2.3939900305896163e-14,0,,173,100
228,1618,2418,9.459265587820948e-16,0,,173,100
229,1629,2429,4.016537111485804e-19,0,,171,100
230,1633,2433,4.9395930326295136e-17,0,,170,100
231,1641,2441,5.322219065011657e-18,0,,171,100
232,1644,2444,3.064301899185261e-18,0,,171,100
233,1653,2453,3.278550195133901e-21,0,,172,100
234,1656,2456,1.3571522590202354e-18,0,,172,100
235,1660,2460,1.5875357860089436e-18,0,,170,100
236,1669,2469,1.8848947317456854e-19,0,,172,100
237,1684,2484,1.1589024897895997e-19,0,,171,100
238,1696,2496,9.923486364851566e-22,0,,170,100
239,1703,2503,2.949642320597028e-19,0,,169,100
240,1709,2509,2.4225556968468188e-20,0,,169,100
241,1714,2514,5.3908123766263916e-20,0,,169,100
242,1718,2518,3.7423374576833014e-23,0,,167,100
243,1724,2524,9.186071111183562e-19,0,,167,100
244,1732,2532,1.0252218864728546e-17,0,,167,100
245,1735,2535,2.922503145804756e-20,0,,167,100
246,1742,2542,7.049734826069174e-18,0,,167,100
247,1745,2545,8.411523829932804e-21,0,,168,100
248,1758,2558,1.2209977460222163e-17,0,,168,100
249,1764,2564,8.807293323494815e-18,0,,166,100
250,1769,2569,2.054328206750399e-19,0,,166,100
251,1772,2572,9.921227899736764e-16,0,,166,100
252,1778,2578,8.345190533360914e-15,0,,167,100
253,1781,2581,9.868828195340069e-17,0,,165,100
254,1785,2585,9.93295529027096e-16,0,,164,100
255,1793,2593,2.4299427351037716e-17,0,,165,100
256,1799,2599,5.713403441861662e-16,0,,165,100
257,1803,2603,5.824542481593511e-19,0,,164,100
258,1808,2608,9.167522948474013e-19,0,,164,100
259,1812,2612,1.7044368900547215e-16,0,,165,100
260,1816,2616,1.5681329010195099e-18,0,,164,100
261,1822,2622,9.611660824751345e-19,0,,165,100
262,1832,2632,2.343626352714088e-20,0,,165,100
263,1842,2642,4.220763701810869e-18,0,,166,100
264,1853,2653,1.7674033647868055e-18,0,,164,100
265,1866,2666,2.9334643678306646e-18,0,,168,100
266,1880,2680,2.0452686071321124e-18,0,,165,100
267,1883,2683,1.8730307587928008e-18,0,,165,100
268,1889,2689,5.450164317143942e-19,0,,165,100
269,1909,2709,2.4561615036511014e-19,0,,166,100
270,1920,2720,1.581435865488844e-19,0,,167,100
271,1923,2723,5.533868970809871e-17,0,,167,100
272,1925,2725,3.548953233737875e-19,0,,166,100
273,1932,2732,4.083538034877799e-21,0,,165,100
274,1935,2735,1.2406255152918526e-21,0,,164,100
275,1944,2744,3.5861496171312805e-19,0,,165,100
276,1949,2749,5.915487107427522e-19,0,,164,100
277,1952,2752,6.119400713904375e-19,0,,164,100
278,1964,2764,3.497864719713098e-20,0,,163,100
279,1968,2768,4.680152627617486e-18,0,,164,100
280,1972,2772,4.071273305334342e-18,0,,165,100
281,1987,2787,1.2899600480887142e-14,0,,162,100
282,1990,2790,1.97133026170147e-14,0,,162,100
283,1995,2795,7.271991213230006e-16,0,,163,100
284,2004,2804,1.3620367158097168e-14,0,,161,100
285,2015,2815,3.5812480771126523e-17,0,,160,100
286,2021,2821,2.917301482084528e-17,0,,161,100
287,2027,2827,7.5358739660757e-15,0,,161,100
288,2031,2831,2.608811004323232e-17,0,,161,100
289,2039,2839,3.1730652139059602e-16,0,,161,100
290,2045,2845,2.318819690405946e-18,0,,161,100
291,2050,2850,1.4736029853104657e-15,0,,162,100
292,2063,2863,4.8173970797180464e-15,0,,163,100
293,2073,2873,2.0496925162688516e-17,0,,162,100
294,2079,2879,1.6583600938415083e-17,0,,161,100
295,2082,2882,7.845101552560851e-18,0,,161,100
296,2089,2889,3.2812796416601392e-15,0,,161,100
297,2094,2894,5.3168385227429945e-18,0,,159,100
298,2098,2898,2.7416068427622604e-17,0,,159,100
299,2103,2903,1.6514387304586151e-13,0,,161,100
300,2106,2906,1.1326580312073482e-17,0,,161,100
301,2112,2912,5.994071062409438e-16,0,,159,100
302,2115,2915,1.9003087039912894e-13,0,,159,100
303,2119,2919,1.7694359785788523e-16,0,,160,100
304,2130,2930,2.993141859972685e-16,0,,162,100
305,2140,2940,7.427430369339236e-16,0,,161,100
306,2144,2944,4.228659147997742e-15,0,,161,100
307,2149,2949,6.978833725550011e-14,0,,161,100
308,2153,2953,1.1736273031669129e-15,0,,160,100
309,2164,2964,5.137164126974091e-14,0,,160,100
310,2170,2970,2.2808217372117066e-14,0,,161,100
311,2186,2986,6.823177999089657e-16,0,,157,100
312,2201,3001,7.545900809495959e-18,0,,158,100
313,2207,3007,2.1125036618306854e-19,0,,159,100
314,2212,3012,6.4346843185353715e-21,0,,157,100
315,2216,3016,4.47327431878689e-21,0,,156,100
316,2221,3021,6.557528152590529e-19,0,,157,100
317,2224,3024,2.2236159731171227e-19,0,,156,100
318,2236,3036,2.4006871145038634e-19,0,,155,100
319,2252,3052,5.463758835135672e-16,0,,154,100
320,2256,3056,1.5587565234850183e-17,0,,155,100
321,2265,3065,2.844549892933998e-16,0,,154,100
322,2273,3073,1.860561310412831e-16,0,,156,100
323,2276,3076,3.042491587604054e-16,0,,156,100
324,2280,3080,2.6010065577399113e-17,0,,155,100
325,2285,3085,1.720145783441335e-17,0,,154,100
326,2289,3089,3.035223036577105e-17,0,,155,100
327,2293,3093,4.962498133291322e-17,0,,154,100
328,2307,3107,2.9381483689052674e-17,0,,156,100
329,2310,3110,1.1309707406280324e-17,0,,155,100
330,2326,3126,8.024579892501168e-15,0,,156,100
331,2329,3129,8.393238110975961e-13,0,,156,100
332,2334,3134,2.3857685563711384e-14,0,,156,100
333,2339,3139,7.0294625573312054e-15,0,,154,100
334,2342,3142,4.291204391928228e-16,0,,155,100
335,2353,3153,1.2213026582772819e-15,0,,157,100
336,2359,3159,6.976884643085795e-16,0,,158,100
337,2368,3168,1.692428073079289e-17,0,,157,100
338,2373,3173,4.479279277672071e-18,0,,157,100
339,2376,3176,5.874197445484153e-18,0,,158,100
340,2396,3196,6.716232292602734e-17,0,,159,100
341,2406,3206,8.706397509585034e-17,0,,159,100
342,2409,3209,1.0382609059416119e-16,0,,159,100
343,2418,3218,1.3496910735852087e-16,0,,158,100
344,2422,3222,9.344201829135378e-17,0,,159,100
345,2432,3232,3.884941282741225e-16,0,,160,100
346,2435,3235,6.602763531604961e-17,0,,159,100
347,2439,3239,2.2042422499617255e-21,0,,159,100
348,2444,3244,3.392129265857395e-26,0,,160,100
349,2447,3247,1.5190352155855714e-31,0,,159,100
350,2451,3251,3.87290557048287e-28,0,,159,100
351,2461,3261,1.0164684057806129e-24,0,,159,100
352,2473,3273,5.604928869310903e-22,0,,157,100
353,2476,3276,8.651463953925265e-24,0,,157,100
354,2479,3279,2.2762936163472772e-24,0,,157,100
355,2482,3282,1.304266736333283e-23,0,,157,100
356,2493,3293,2.2371024547338428e-24,0,,159,100
357,2496,3296,2.5532373381656867e-20,0,,158,100
358,2502,3302,8.929250389963491e-24,0,,159,100
359,2509,3309,4.261498200440932e-25,0,,157,100
360,2520,3320,1.8329961714837808e-26,0,,158,100
361,2523,3323,4.280106022355494e-24,0,,157,100
362,2530,3330,8.752585646897158e-25,0,,157,100
363,2533,3333,1.9173780731761682e-24,0,,157,100
364,2540,3340,3.1553067701555495e-30,0,,158,100
365,2549,3349,5.164014809438852e-24,0,,161,100
366,2553,3353,9.482309069226831e-26,0,,161,100
367,2563,3363,3.211784265122366e-22,0,,162,100
368,2570,3370,7.044344658403448e-29,0,,161,100
369,2574,3374,8.05536176152339e-31,0,,160,100
370,2578,3378,1.613841148975881e-30,0,,161,100
371,2587,3387,3.9438978036080913e-29,0,,161,100
372,2590,3390,1.5999094909618733e-29,0,,161,100
373,2595,3395,6.3822280843947295e-28,0,,160,100
374,2607,3407,1.399722078523111e-28,0,,161,100
375,2625,3425,9.484179293883106e-25,0,,160,100
376,2631,3431,1.163880303090617e-23,0,,160,100
377,2635,3435,4.489510893112579e-24,0,,160,100
378,2640,3440,9.869342516978826e-22,0,,160,100
379,2643,3443,5.552000123920592e-21,0,,160,100
380,2655,3455,7.666270706736606e-20,0,,158,100
381,2663,3463,5.786139094914905e-24,0,,157,100
382,2666,3466,1.8529890290823875e-24,0,,157,100
383,2674,3474,1.4247982413798304e-23,0,,159,100
384,2688,3488,1.9683654411631194e-25,0,,161,100
385,2699,3499,2.175332460912885e-22,0,,160,100
386,2702,3502,3.6910732900682896e-21,0,,160,100
387,2706,3506,8.159639458101688e-25,0,,160,100
